code,rate,base_rate_code,date
AED,4.276859,EUR,2021-10-19
AED,3.673201407,USD,2021-10-19
AED,5.069314524,GBP,2021-10-19
AFN,104.382924,EUR,2021-10-19
AFN,89.64978816,USD,2021-10-19
AFN,123.7239462,GBP,2021-10-19
ALL,121.731527,EUR,2021-10-19
ALL,104.5497213,USD,2021-10-19
ALL,144.2870569,GBP,2021-10-19
AMD,555.786768,EUR,2021-10-19
AMD,477.3402019,USD,2021-10-19
AMD,658.76802,GBP,2021-10-19
ANG,2.090065,EUR,2021-10-19
ANG,1.795062615,USD,2021-10-19
ANG,2.477331345,GBP,2021-10-19
AOA,695.641249,EUR,2021-10-19
AOA,597.4549114,USD,2021-10-19
AOA,824.5360174,GBP,2021-10-19
ARS,115.626967,EUR,2021-10-19
ARS,99.30678985,USD,2021-10-19
ARS,137.0513882,GBP,2021-10-19
AUD,1.56E+00,EUR,2021-10-19
AUD,1.337949965,USD,2021-10-19
AUD,1.84647898,GBP,2021-10-19
AWG,2.096396,EUR,2021-10-19
AWG,1.800500025,USD,2021-10-19
AWG,2.484835411,GBP,2021-10-19
AZN,1.97997,EUR,2021-10-19
AZN,1.700506982,USD,2021-10-19
AZN,2.346836937,GBP,2021-10-19
BAM,1.953189,EUR,2021-10-19
BAM,1.677505988,USD,2021-10-19
BAM,2.315093709,GBP,2021-10-19
BBD,2.351022,EUR,2021-10-19
BBD,2.019186819,USD,2021-10-19
BBD,2.786640843,GBP,2021-10-19
BDT,99.702266,EUR,2021-10-19
BDT,85.629782,USD,2021-10-19
BDT,118.1760131,GBP,2021-10-19
BGN,1.956328,EUR,2021-10-19
BGN,1.680201934,USD,2021-10-19
BGN,2.318814332,GBP,2021-10-19
BHD,0.438885,EUR,2021-10-19
BHD,0.3769385429,USD,2021-10-19
BHD,0.520205624,GBP,2021-10-19
BIF,2327.517451,EUR,2021-10-19
BIF,1998.999821,USD,2021-10-19
BIF,2758.781157,GBP,2021-10-19
BMD,1.164341,EUR,2021-10-19
BMD,1,USD,2021-10-19
BMD,1.380080742,GBP,2021-10-19
BND,1.564299,EUR,2021-10-19
BND,1.343505897,USD,2021-10-19
BND,1.854146616,GBP,2021-10-19
BOB,8.040199,EUR,2021-10-19
BOB,6.905364494,USD,2021-10-19
BOB,9.529960554,GBP,2021-10-19
BRL,6.466053,EUR,2021-10-19
BRL,5.553401452,USD,2021-10-19
BRL,7.664142396,GBP,2021-10-19
BSD,1.164426,EUR,2021-10-19
BSD,1.000073003,USD,2021-10-19
BSD,1.380181491,GBP,2021-10-19
BTC,1.86E-05,EUR,2021-10-19
BTC,1.59E-05,USD,2021-10-19
BTC,2.20E-05,GBP,2021-10-19
BTN,87.390605,EUR,2021-10-19
BTN,75.05585134,USD,2021-10-19
BTN,103.583135,GBP,2021-10-19
BWP,12.988185,EUR,2021-10-19
BWP,11.15496663,USD,2021-10-19
BWP,15.39475462,GBP,2021-10-19
BYN,2.844155,EUR,2021-10-19
BYN,2.442716524,USD,2021-10-19
BYN,3.371146032,GBP,2021-10-19
BYR,22821.08156,EUR,2021-10-19
BYR,19599.99824,USD,2021-10-19
BYR,27049.58012,GBP,2021-10-19
BZD,2.347027,EUR,2021-10-19
BZD,2.015755694,USD,2021-10-19
BZD,2.781905613,GBP,2021-10-19
CAD,1.438479,EUR,2021-10-19
CAD,1.235444771,USD,2021-10-19
CAD,1.705013536,GBP,2021-10-19
CDF,2344.982281,EUR,2021-10-19
CDF,2013.999577,USD,2021-10-19
CDF,2779.48203,GBP,2021-10-19
CHF,1.072711,EUR,2021-10-19
CHF,0.9213031234,USD,2021-10-19
CHF,1.271472698,GBP,2021-10-19
CLF,0.034258,EUR,2021-10-19
CLF,0.02942265196,USD,2021-10-19
CLF,0.04060563534,GBP,2021-10-19
CLP,945.674356,EUR,2021-10-19
CLP,812.1970763,USD,2021-10-19
CLP,1120.897544,GBP,2021-10-19
CNY,7.43233,EUR,2021-10-19
CNY,6.38329321,USD,2021-10-19
CNY,8.80946003,GBP,2021-10-19
COP,4386.631038,EUR,2021-10-19
COP,3767.479663,USD,2021-10-19
COP,5199.426128,GBP,2021-10-19
CRC,731.401199,EUR,2021-10-19
CRC,628.1675205,USD,2021-10-19
CRC,866.9218977,GBP,2021-10-19
CUC,1.164341,EUR,2021-10-19
CUC,1,USD,2021-10-19
CUC,1.380080742,GBP,2021-10-19
CUP,30.855034,EUR,2021-10-19
CUP,26.49999785,USD,2021-10-19
CUP,36.5721367,GBP,2021-10-19
CVE,110.61265,EUR,2021-10-19
CVE,95.00021901,USD,2021-10-19
CVE,131.1079727,GBP,2021-10-19
CZK,25.493828,EUR,2021-10-19
CZK,21.89549969,USD,2021-10-19
CZK,30.21755745,GBP,2021-10-19
DJF,207.291537,EUR,2021-10-19
DJF,178.0333571,USD,2021-10-19
DJF,245.7004075,GBP,2021-10-19
DKK,7.440486,EUR,2021-10-19
DKK,6.390298031,USD,2021-10-19
DKK,8.819127248,GBP,2021-10-19
DOP,65.733425,EUR,2021-10-19
DOP,56.45547567,USD,2021-10-19
DOP,77.91311475,GBP,2021-10-19
DZD,159.477571,EUR,2021-10-19
DZD,136.968097,USD,2021-10-19
DZD,189.0270329,GBP,2021-10-19
EGP,18.302039,EUR,2021-10-19
EGP,15.7187963,USD,2021-10-19
EGP,21.69320806,GBP,2021-10-19
ERN,17.466556,EUR,2021-10-19
ERN,15.00123761,USD,2021-10-19
ERN,20.70291913,GBP,2021-10-19
ETB,54.44493,EUR,2021-10-19
